origem,destino
27,3321
27,3841
27,4065
27,4888
27,5010
27,5528
27,5733
27,5846
27,6540
27,7062
27,7669
27,8487
28,1061
28,1165
28,1920
28,2047
28,2862
28,6580
28,7640
28,8698
29,255
29,479
29,3245
29,4569
29,5022
29,5637
29,6136
29,6520
29,6918
29,8224
30,62
30,486
30,2755
30,2831
30,3914
30,5681
30,5864
31,1542
31,2318
31,4143
31,6649
31,7988
31,8021
31,8314
31,9249
32,371
32,651
32,720
32,2436
32,3980
32,5088
32,6220
33,1254
33,1257
33,1776
33,2277
33,2521
33,4277
33,4391
33,9545
34,517
34,728
34,1335
34,1504
34,1545
34,2872
34,2982
34,3716
34,6191
34,7021
34,9254
34,9477
34,9765
35,176
35,1531
35,2294
35,3899
35,8347
35,9317
35,9626
35,9945
36,1585
36,2403
36,2445
36,4774
36,4932
36,5700
36,5857
36,7374
36,8753
36,9471
37,432
37,1836
37,2311
37,2381
37,3180
37,8155
37,8705
37,9371
37,9983
38,977
38,1119
38,2465
38,2998
38,3389
38,4088
38,4172
38,4793
38,6412
38,8098
38,8658
38,9319
38,9487
39,4562
39,5248
39,5679
39,5753
39,5830
39,6332
39,6918
39,7133
39,8305
40,677
40,913
40,1548
40,2363
40,3778
40,4411
40,5120
40,5969
40,6944
40,9747
41,1592
41,4567
41,4735
41,5095
41,6372
41,9152
41,9596
41,9663
41,9694
42,1920
42,3641
42,9143
42,9675
43,1932
43,2459
43,2572
43,3105
43,4538
43,5433
43,6948
43,7335
43,8093
44,504
44,2216
44,2352
44,3189
44,3674
44,5325
44,5732
44,6541
44,7863
44,9279
44,9345
45,1851
45,5196
45,5739
46,486
46,1400
46,2707
46,4933
46,5302
46,5340
46,5708
46,7085
46,7893
46,8493
46,8516
47,888
47,911
47,3292
47,3309
47,5440
47,5904
47,6160
47,6863
47,6961
48,632
48,2358
48,3027
48,4169
48,4902
48,6911
48,7060
48,8481
49,1735
49,2604
49,3100
49,4497
49,4613
49,5841
49,6352
49,6895
49,7044
49,7299
49,8034
49,8723
49,9623
50,830
50,1452
50,1969
50,2138
50,2275
50,2537
50,2709
50,2829
50,3452
50,4950
50,6888
50,8772
51,1070
51,1971
51,2643
51,3383
51,3678
51,3761
51,5171
51,5922
51,7590
51,8860
52,542
52,1321
52,1393
52,2315
52,4190
52,7663
53,247
53,2864
53,4556
53,5264
53,6909
53,7516
53,9164
54,698
54,5727
54,5921
54,8727
54,9172
55,887
55,1851
55,5404
55,6672
55,6833
55,7545
55,7548
55,7853
55,8965
55,9393
55,9489
56,3075
56,3907
56,4035
56,4779
56,6294
56,6545
56,6685
56,7269
56,7788
57,944
57,3134
57,3197
57,6945
57,7018
57,8888
57,9166
58,118
58,2115
58,2219
58,2499
58,3638
58,4080
58,4175
58,4510
58,4733
58,8061
58,8122
59,506
59,1056
59,1149
59,2783
59,4056
59,4204
59,5524
59,7206
59,7737
59,7754
59,7936
59,7951
59,8423
59,9132
59,9345
59,9733
59,9792
60,870
60,944
60,5277
60,6958
60,8055
60,9016
60,9664
61,817
61,1580
61,3800
61,6139
61,6186
61,6342
61,7681
61,7982
61,8521
61,9130
61,9393
61,9500
62,189
62,1177
62,1351
62,2168
62,2592
62,4394
62,4730
62,5825
62,5975
62,6741
62,7923
62,8415
62,9372
62,9635
63,841
63,1609
63,5028
63,5323
63,5444
63,6213
63,6230
63,6556
63,7749
63,8996
63,9800
64,470
64,1174
64,1342
64,2001
64,3218
64,3519
64,6774
64,7302
64,7886
64,9354
65,303
65,434
65,543
65,649
65,1188
65,1967
65,2341
65,2522
65,3788
65,4014
65,5330
65,7549
65,7833
65,8942
65,8945
65,9738
66,600
66,2436
66,2954
66,3150
66,4030
66,4563
66,6598
66,7836
66,8446
66,8664
66,8804
67,482
67,3097
67,3326
67,4481
67,4795
67,4871
67,5528
67,6466
67,6637
67,7689
67,8946
68,348
68,463
68,1778
68,4500
68,6068
68,7099
68,7684
68,8959
68,9494
69,1613
69,1838
69,2015
69,4280
69,6035
69,6869
70,593
70,1000
70,1154
70,1225
70,5403
70,6445
70,6628
70,6725
70,7636
71,10
71,1603
71,1705
71,2165
71,2589
71,2931
71,3727
71,5369
71,7491
71,7507
72,47
72,1039
72,1580
72,2588
72,2758
72,3524
72,6257
72,6636
72,6895
72,9545
73,730
73,1000
73,2317
73,3723
73,5643
73,7730
73,9038
73,9551
74,168
74,1923
74,5149
74,5524
74,5874
74,6191
74,6392
74,6936
74,7190
74,7991
74,8322
74,8558
74,9946
75,1
75,889
75,962
75,1474
75,1595
75,2466
75,2623
75,2870
75,6159
75,6191
75,6622
75,7683
75,8349
75,8502
76,513
76,731
76,1152
76,3004
76,3900
76,4788
76,5470
76,5550
76,5668
76,6048
76,7532
76,8886
76,9002
77,1855
77,2190
77,2944
77,2983
77,3182
77,3437
77,4218
77,4337
77,4972
77,4996
77,5849
77,6812
77,8109
77,8555
77,9871
78,674
78,893
78,4580
78,5970
78,6797
78,7770
78,7813
78,9106
78,9223
79,1730
79,3477
79,4417
79,4697
79,5891
79,7245
79,7532
79,8974
80,3147
80,3937
80,4019
80,4385
80,5201
80,6562
80,9650
81,719
81,743
81,1213
81,4290
81,6495
81,7225
81,8023
81,9274
81,9985
82,667
82,1646
82,2510
82,4409
82,6750
82,9177
82,9631
83,535
83,632
83,1019
83,1432
83,1735
83,4137
83,4190
83,5212
83,7482
83,7512
83,8555
83,8955
84,894
84,4422
84,5192
84,7358
84,8569
84,8935
84,9699
84,9883
85,919
85,1704
85,5532
85,7131
85,9206
86,198
86,654
86,7519
86,8782
86,9728
87,63
87,527
87,1045
87,1125
87,1373
87,2714
87,4451
87,4846
87,4849
87,5848
87,5952
88,24
88,799
88,966
88,3551
88,3917
88,4055
88,5012
88,5089
88,7026
88,9262
88,9327
88,9753
89,1506
89,1834
89,4275
89,5812
89,6408
89,7082
89,7285
89,7515
89,7691
89,9489
89,9936
90,2331
90,2613
90,5913
90,6484
90,7188
90,8061
90,9838
91,443
91,466
91,713
91,1447
91,1669
91,2256
91,3055
91,5636
91,6206
91,6397
91,7034
91,7903
91,7988
91,8665
91,9946
92,501
92,617
92,2222
92,4745
92,5195
92,5278
92,6328
92,7642
92,8214
92,8583
92,8862
93,45
93,796
93,1843
93,6669
93,7842
93,9288
93,9439
93,9643
93,9885
94,2906
94,4147
94,4355
94,4361
94,5692
94,6491
95,2906
95,4169
95,4192
95,4207
95,4940
95,6366
95,6382
95,8278
96,147
96,169
96,231
96,1713
96,2309
96,2519
96,3151
96,4153
96,5066
96,5240
96,6866
96,7113
96,7539
96,7699
96,7921
96,8434
96,8873
96,9698
96,9826
97,298
97,879
97,1154
97,3506
97,8257
97,9742
98,1435
98,1899
98,3120
98,3461
98,3544
98,4122
98,5141
98,7914
98,8261
98,9541
98,9578
99,2649
99,2891
99,4738
99,4983
99,5009
99,6007
99,6735
100,3474
100,3994
100,4540
100,6547
100,6973
100,7784
100,8305
100,8461
100,8580
100,9005
100,9208
100,9213
101,1033
101,1520
101,2041
101,2621
101,3672
101,3919
101,4054
101,6257
101,7471
101,8467
102,1690
102,7813
103,126
103,946
103,2010
103,3171
103,3745
103,4154
103,4499
103,5047
103,6162
103,6850
103,7046
103,8188
103,8820
104,349
104,637
104,2817
104,3141
104,3961
104,6070
104,6166
104,6930
104,7565
104,8575
105,414
105,557
105,3351
105,4775
105,5274
105,5328
105,5565
105,5911
105,6775
105,8248
105,9802
106,1245
106,2200
106,2223
106,3461
106,5004
106,5813
106,6083
106,7712
106,8373
106,8438
106,8707
107,1741
107,3235
107,4316
107,6140
107,6381
107,7710
107,9029
108,272
108,494
108,1315
108,2196
108,2426
108,2652
108,2917
108,4746
108,5550
108,5731
108,6044
108,6704
108,7425
108,7749
109,74
109,395
109,565
109,2371
109,2693
109,3887
109,5903
109,6030
109,9538
110,302
110,775
110,2358
110,3040
110,6445
110,7552
110,7997
110,8063
110,8343
110,8840
111,71
111,474
111,1109
111,2057
111,2440
111,3156
111,3573
111,3860
111,4740
111,8079
111,9903
112,29
112,1468
112,3384
112,4929
112,5689
112,6248
112,6340
112,6725
112,8172
112,9268
112,9954
113,1879
113,2264
113,3205
113,4406
113,6166
113,6522
113,8078
113,8536
113,9461
113,9911
114,423
114,852
114,974
114,1315
114,2106
114,2911
114,3163
114,3860
114,4313
114,4910
114,5833
114,6730
114,7159
114,7559
114,9314
115,629
115,732
115,5118
115,5786
115,6224
115,6357
115,6490
115,7715
115,7753
115,9279
115,9516
116,822
116,964
116,1145
116,4374
116,6872
116,7736
116,7897
116,8326
116,8794
117,731
117,866
117,1156
117,2790
117,3233
117,3394
117,4481
117,5428
117,6728
117,7322
117,8933
117,9987
118,648
118,1862
118,1958
118,2168
118,2240
118,2633
118,3761
118,6796
118,7695
118,8001
118,8100
119,1549
119,1752
119,2844
119,3369
119,4681
119,4756
119,5031
119,5771
119,6379
119,6576
119,6628
119,7999
119,9001
120,128
120,297
120,369
120,692
120,2419
120,2564
120,3736
120,3817
120,4259
120,4898
120,7518
120,9096
120,9531
120,9737
121,101
121,1871
121,1893
121,3906
121,4125
121,5151
121,6360
121,7655
121,8531
121,8536
121,9211
121,9593
122,200
122,393
122,773
122,1824
122,1828
122,2117
122,5943
122,6378
122,6534
123,180
123,582
123,1888
123,3777
123,4381
123,5384
123,6625
123,7966
124,1953
124,2386
124,2840
124,2942
124,5067
124,5097
124,5725
124,7087
124,8523
124,8999
124,9814
125,400
125,1175
125,1752
125,1870
125,2893
125,6835
125,7430
125,9624
125,9829
125,9935
126,2078
126,3287
126,4998
126,6442
126,9356
127,326
127,611
127,1911
127,2153
127,2383
127,2803
127,3188
127,3847
127,6152
127,7138
127,7468
128,239
128,568
128,1730
128,1861
128,2043
128,2044
128,2151
128,3850
128,3925
128,4191
128,4265
128,6149
128,6546
128,6586
128,7651
128,8201
128,9616
129,1004
129,1505
129,2336
129,3817
129,4977
129,6066
129,6288
129,7693
129,7878
129,8131
130,392
130,706
130,5122
130,5342
130,5515
130,6153
130,6617
130,9426
131,316
131,1375
131,2653
131,5779
131,6029
131,8121
131,8230
131,8931
131,9051
132,968
132,1476
132,2220
132,3085
132,3376
132,3660
132,7496
132,8926
133,626
133,1159
133,4594
133,6089
133,6167
134,812
134,1220
134,1420
134,2645
134,4669
134,8031
134,8844
134,9162
134,9375
134,9751
135,1754
135,3305
135,5158
135,5949
135,6977
135,8359
135,9747
136,2404
136,2754
136,5840
136,6280
136,7563
136,7744
136,8134
136,8256
136,8550
137,6590
137,6708
137,7812
137,9506
137,9550
137,9605
138,2045
138,2118
138,2738
138,3150
138,3496
138,4701
138,5967
138,7317
138,7480
138,7702
138,8439
139,1312
139,6683
139,7547
139,7679
139,7738
139,8227
139,9810
139,9839
140,101
140,758
140,1203
140,1745
140,6356
140,8008
141,188
141,1796
141,3824
141,3896
141,3928
141,5001
141,5158
141,5162
141,5365
141,6285
141,6624
141,6878
141,8369
141,8379
142,2697
142,3358
142,3487
142,3720
142,5181
142,6259
142,6282
142,6375
142,7581
142,8044
142,8262
142,8730
142,9073
142,9795
143,1209
143,3241
143,3422
143,4289
143,4836
143,6654
143,6766
143,8175
143,9937
144,696
144,1720
144,3687
144,4873
144,6099
144,7128
144,7778
145,688
145,1231
145,1466
145,2609
145,3307
145,6268
145,6999
145,8185
145,9119
146,229
146,255
146,673
146,1260
146,2721
146,4481
146,5100
146,5546
146,6360
146,7777
146,7977
146,8068
146,8704
146,8757
146,9201
147,2195
147,5104
147,5257
147,6862
147,6891
147,7633
147,8619
148,74
148,4226
148,4244
148,5272
148,5872
148,8250
148,8516
148,8603
149,1228
149,1551
149,2019
149,3606
149,4235
149,5910
149,5964
149,7428
149,9984
150,1881
150,1947
150,4480
150,5539
150,5634
150,5931
150,6646
150,7112
150,7912
150,8135
150,8898
150,9005
150,9650
151,530
151,586
151,857
151,1663
151,2439
151,3824
151,4619
151,5712
151,8391
151,8764
151,8890
152,1065
152,3561
152,3584
152,5774
152,6094
152,8196
153,492
153,2338
153,2603
153,3241
153,3515
153,5203
153,7184
153,8932
153,9694
154,22
154,270
154,306
154,326
154,1693
154,2332
154,3932
154,4594
154,5213
154,5282
154,6482
154,6709
154,6916
154,6920
154,7316
154,9164
154,9325
154,9615
155,2191
155,3337
155,3430
155,5953
155,7822
155,7877
155,9505
155,9807
155,9893
156,802
156,5029
156,6206
156,6210
156,7012
156,7023
156,8669
156,8782
156,9088
157,243
157,2143
157,2553
157,2984
157,3245
157,4246
157,4793
157,5950
157,8504
157,8698
157,8895
157,9473
158,97
158,1097
158,1683
158,1943
158,2105
158,2117
158,2651
158,3627
158,4313
158,4406
159,297
159,1053
159,2219
159,2740
159,5371
159,7274
159,8111
159,8553
159,8596
159,8860
159,9988
160,2645
160,3462
160,3743
160,3890
160,5180
160,5570
160,7023
160,7345
160,8597
160,9170
161,719
161,2114
161,3071
161,5129
161,6436
161,7191
161,7209
161,9224
162,504
162,1597
162,2557
162,2729
162,4083
162,5510
162,6789
162,8326
162,9985
163,425
163,878
163,1402
163,1710
163,2239
163,2352
163,2875
163,3040
163,3367
163,3617
164,386
164,1184
164,4325
164,6575
164,6849
164,7145
164,7905
164,9801
164,9837
165,1311
165,1932
165,3634
165,4008
165,4834
165,4901
165,6129
165,6437
165,8116
165,9441
166,3263
166,3799
166,4867
166,5518
166,8333
167,626
167,939
167,1323
167,4565
167,4946
167,5287
167,5371
167,5784
167,6201
167,6299
167,7689
167,7873
167,9956
168,33
168,346
168,938
168,1579
168,4034
168,6146
168,6916
168,7111
168,8227
168,9866
169,967
169,1715
169,3848
169,3924
169,5195
169,6161
169,7708
169,8699
169,9509
169,9801
169,9935
169,9977
169,9997
170,3008
170,3395
170,4112
170,4267
170,5401
170,5781
170,7587
170,7652
170,8217
170,9689
171,680
171,959
171,1196
171,2543
171,3483
171,3692
171,4000
171,4264
171,4881
171,4959
171,5756
171,7921
171,9587
172,1985
172,3608
172,3778
172,3975
172,4494
172,6203
172,7176
172,7798
172,8184
172,8332
172,9213
172,9680
173,43
173,988
173,2183
173,2948
173,3905
173,4202
173,9282
174,133
174,988
174,1452
174,1892
174,2224
174,2824
174,5146
174,5300
174,6596
174,6841
174,8855
174,9326
174,9726
175,1126
175,1768
175,1798
175,3603
175,4115
175,4462
175,4944
175,6050
175,6145
175,6708
176,260
176,842
176,2337
176,4082
176,4550
176,4743
176,5006
176,5494
176,6755
176,8332
176,9240
177,493
177,1711
177,3355
177,6414
177,6814
177,7697
177,8546
177,9434
177,9510
178,2051
178,3409
178,4377
178,4637
178,5452
178,5676
178,6191
178,7119
178,7465
178,8162
178,8495
178,8803
179,295
179,1241
179,1578
179,1880
179,2908
179,2957
179,3086
179,3138
179,4736
179,5249
179,5262
179,9208
180,1160
180,1270
180,1410
180,1766
180,2652
180,3361
180,7158
180,7455
180,9688
181,872
181,1251
181,1676
181,3441
181,4552
181,6255
181,8219
181,8488
181,9500
182,873
182,1240
182,2336
182,2832
182,3252
182,3337
182,4405
182,4525
182,7320
182,8165
183,575
183,1167
183,1206
183,1214
183,2686
183,2764
183,2860
183,3582
183,4650
183,5566
183,5705
183,8048
183,8437
183,9107
184,2085
184,2590
184,2699
184,2766
184,3569
184,4194
184,4577
184,5713
184,6817
184,7566
184,7585
184,8876
184,9037
184,9659
185,2402
185,2457
185,3898
185,4710
185,5000
185,5727
185,5814
185,6286
186,190
186,2209
186,2548
186,4474
186,5252
186,5290
186,6239
186,6640
186,8563
187,1120
187,1778
187,3322
187,4135
187,5724
187,6310
187,6785
187,7482
187,8784
187,8920
188,4044
188,5271
188,5568
188,5895
188,6727
188,8292
188,8884
188,8923
188,9394
189,1813
189,2679
189,3719
189,3934
189,5754
189,7108
189,7294
189,7732
189,9471
189,9695
190,129
190,1880
190,5680
190,7755
190,8234
190,8865
191,2093
191,5135
191,5799
191,9111
191,9950
192,566
192,1204
192,4413
192,5420
192,6297
192,7672
192,8305
192,9122
192,9885
193,944
193,1207
193,2661
193,4725
193,4788
193,6247
193,7693
193,7757
193,9887
193,9982
194,333
194,719
194,3397
194,3867
194,3978
194,4171
194,6794
194,7372
194,8905
194,9041
195,1027
195,2686
195,3214
195,4214
195,6024
195,6335
195,6795
195,8649
195,9762
196,953
196,1564
196,2804
196,4763
196,6869
196,7547
197,1065
197,1127
197,3337
197,8665
197,9254
198,2877
198,3957
198,5140
198,6693
198,6809
198,7131
198,7672
198,7845
198,8646
198,9665
199,2198
199,2210
199,4633
199,5391
199,5838
199,6736
199,6889
199,7304
199,7733
200,294
200,479
200,1277
200,1547
200,2077
200,2150
200,2946
200,4393
200,5684
200,5728
200,6050
200,7195
201,487
201,1986
201,2040
201,2642
201,3433
201,4341
201,4805
201,5694
201,6154
201,6764
201,8129
201,8383
201,8757
201,8800
201,9625
202,162
202,896
202,1241
202,4349
202,4408
202,6241
202,7113
202,8578
202,8634
202,9054
202,9624
202,9873
203,1851
203,1920
203,2375
203,2978
203,5324
203,6904
203,8145
204,1119
204,1649
204,2998
204,3020
204,3671
204,4961
204,6687
204,7194
204,7583
204,8303
204,8466
204,8919
204,9670
204,9772
205,56
205,773
205,2834
205,4949
205,6640
205,8962
205,9548
206,1035
206,1707
206,2702
206,6590
206,7427
206,8186
207,1159
207,1509
207,3321
207,4205
207,4661
207,7773
207,8558
207,9737
207,9900
208,470
208,502
208,1711
208,2180
208,2467
208,2926
208,4796
208,5338
208,6499
208,6751
208,7765
208,8346
208,9226
208,9314
208,9474
208,9686
208,9721
209,1622
209,3474
209,4665
209,5032
209,5267
209,6146
209,6563
209,7334
209,7375
209,8558
209,9173
210,2
210,147
210,322
210,1310
210,1973
210,2567
210,2731
210,3435
210,4004
210,4049
210,4768
210,5643
210,8472
210,9668
210,9862
211,1144
211,1741
211,5025
211,5555
211,5617
211,6218
211,6513
212,74
212,1511
212,2729
212,3262
212,3863
212,4347
212,7000
212,8434
212,9310
212,9408
212,9774
213,728
213,970
213,2036
213,2696
213,3047
213,3801
213,4377
213,4441
213,5965
213,6333
213,6495
213,6708
213,8916
214,951
214,1162
214,1655
214,2529
214,2833
214,3477
214,3852
214,4274
214,6080
214,6629
214,7412
214,7615
214,7875
214,7974
214,8075
214,9405
215,888
215,1960
215,2035
215,2921
215,3514
215,3762
215,5107
215,7028
215,8738
215,8989
215,9726
215,9773
216,477
216,2838
216,3032
216,3144
216,3345
216,3983
216,4057
216,4731
216,5696
216,9717
217,1291
217,2540
217,4956
217,5556
217,6383
217,6701
217,6927
217,7225
217,7770
217,9277
217,9579
218,418
218,1418
218,1445
218,1843
218,2016
218,2364
218,3234
218,3416
218,6493
218,6793
218,6864
218,8151
218,9628
219,432
219,439
219,6771
219,7689
219,8546
219,8789
220,1747
220,1862
220,3617
220,4069
220,4949
220,5057
220,6387
220,6843
220,7651
221,28
221,370
221,1015
221,3645
221,3688
221,5462
221,5586
222,3210
222,3835
222,4230
222,8428
222,9785
223,113
223,2381
223,2726
223,5336
223,6022
223,7568
223,7713
223,8146
224,4203
224,4673
224,5661
224,5835
224,7571
224,9101
225,154
225,510
225,1849
225,3190
225,3868
225,4034
225,4390
225,5604
225,6246
225,6316
225,6734
225,7375
225,8443
225,9160
226,2426
226,3159
226,6012
226,7675
226,9445
226,9772
227,2243
227,2474
227,2726
227,4652
227,7179
227,8182
227,8810
227,8935
227,9985
228,29
228,2952
228,3423
228,4838
228,6195
228,7194
228,7889
228,8455
228,8523
229,384
229,1507
229,1939
229,4060
229,5102
229,8532
229,8850
229,8936
230,986
230,1229
230,3792
230,4080
230,5559
230,6524
230,7043
230,7328
230,9594
231,120
231,373
231,722
231,1568
231,2283
231,3305
231,3414
231,3815
231,6364
231,8147
231,8709
232,1010
232,1180
232,1343
232,1531
232,2099
232,2622
232,4353
232,6409
232,6515
232,6825
232,7108
232,7266
232,9092
233,1221
233,2669
233,3134
233,3206
233,3708
233,5064
233,5282
233,5344
233,6255
233,6256
233,7647
233,7738
234,1597
234,3649
234,4204
234,5143
234,5278
234,7059
234,7220
234,7810
234,9322
234,9426
234,9900
235,143
235,3239
235,3623
235,3672
235,4680
235,5942
235,6182
235,6457
236,357
236,2659
236,2853
236,3078
236,5412
236,6189
236,8452
236,9826
237,1660
237,2132
237,5241
237,7133
237,8775
237,9196
238,1959
238,3183
238,4335
238,5081
238,5092
238,6190
238,7756
238,8163
239,131
239,222
239,433
239,527
239,587
239,2406
239,2616
239,4000
239,4416
239,6015
239,6615
239,8058
239,9557
240,600
240,829
240,1506
240,1865
240,3519
240,3635
240,4274
240,8631
240,9530
241,408
241,512
241,862
241,1781
241,2169
241,3240
241,6593
241,7509
241,7784
241,9567
242,398
242,1093
242,1627
242,1985
242,2737
242,2865
242,3272
242,4834
242,5667
242,5676
242,8471
242,9285
243,1788
243,1884
243,3453
243,4160
243,5626
243,6122
243,6315
243,6748
243,7563
243,9376
244,28
244,300
244,642
244,1263
244,1403
244,2605
244,3137
244,3980
244,4073
244,5833
245,156
245,598
245,621
245,1577
245,3184
245,3253
245,3613
245,4353
245,6638
245,6849
245,7186
245,7203
245,7433
245,7643
245,7671
246,506
246,1443
246,2421
246,5398
246,6202
246,7127
246,7560
246,8369
246,9137
246,9729
247,138
247,939
247,1179
247,3197
247,3343
247,4217
247,5463
247,5536
247,6568
247,6888
247,7080
247,8186
247,8843
247,8901
248,1626
248,1955
248,3193
248,3470
248,3662
248,3963
248,4347
248,5363
248,6344
248,8355
248,8948
249,3744
249,4250
249,4448
249,4825
249,5033
249,5574
249,5695
249,6721
249,8085
249,8247
249,9314
249,9496
250,434
250,1546
250,1767
250,5345
250,5615
250,6693
250,6824
250,7780
250,8375
250,8702
250,9667
250,9925
251,2680
251,2866
251,4281
251,4807
251,5357
251,6262
251,7358
251,9107
251,9729
251,9994
252,3820
252,7099
252,8608
252,8671
252,8800
253,523
253,1434
253,3906
253,4184
253,4733
253,4850
253,5046
253,5458
253,5949
253,6405
253,7496
253,7873
254,2049
254,2767
254,3215
254,3780
254,3899
254,5364
254,5509
254,6065
254,7070
254,8622
255,820
255,837
255,1396
255,4073
255,4482
255,5366
255,5474
255,6883
255,7579
255,7899
255,7926
255,8475
255,9277
256,1465
256,3231
256,3592
256,4802
256,5893
256,7000
256,7714
256,8209
256,8464
256,9053
256,9238
256,9952
257,1018
257,2460
257,2708
257,3221
257,4832
257,5177
257,5321
257,5765
257,6157
257,6758
257,9093
257,9444
258,937
258,2282
258,2603
258,2909
258,4087
258,4698
258,5273
258,7639
258,8191
258,9099
258,9183
259,162
259,713
259,1728
259,1969
259,3171
259,3197
259,3440
259,6492
259,8720
259,9251
259,9711
260,2127
260,3489
260,4029
260,7302
260,8073
260,8644
260,9172
261,253
261,545
261,1758
261,3010
261,5976
261,7689
261,7985
261,9074
261,9645
262,61
262,615
262,821
262,1356
262,2906
262,3139
262,4226
262,4622
262,5099
262,6974
262,7085
262,7380
262,8160
262,8210
262,8483
262,9331
263,633
263,888
263,1549
263,2335
263,2739
263,5628
263,5970
263,7859
263,8512
264,167
264,1077
264,1483
264,1695
264,1696
264,2536
264,3226
264,4238
264,4542
264,5408
264,8862
264,9263
264,9491
265,445
265,1157
265,1172
265,1548
265,4929
265,5619
265,6651
265,7130
265,7297
265,7388
265,8821
266,768
266,1778
266,2962
266,5671
266,5925
266,7888
266,9655
267,27
267,1675
267,1820
267,2226
267,2829
267,3033
267,3765
267,4200
267,4316
267,4985
267,7246
267,9130
267,9478
268,42
268,1483
268,2580
268,8138
268,8243
268,8671
268,9673
269,2375
269,3261
269,3594
269,4285
269,5745
269,7906
270,870
270,1514
270,2031
270,2796
270,4521
270,5871
270,6156
270,8327
270,8743
270,8763
271,809
271,1646
271,2484
271,3545
271,5221
271,6650
271,6686
271,6739
271,7379
271,7617
271,8171
272,2479
272,2866
272,2953
272,3563
272,6734
272,9749
273,76
273,1973
273,2316
273,2877
273,4155
273,4377
273,4836
273,5742
273,6743
273,7821
273,8676
273,9665
273,9720
274,2214
274,3183
274,4858
274,8069
274,8119
274,8689
275,867
275,2041
275,2299
275,2986
275,3016
275,3066
275,3241
275,4630
275,4806
275,5674
275,6352
275,7987
275,9117
275,9931
276,2598
276,4593
276,6623
276,6630
276,7065
277,332
277,448
277,1009
277,2567
277,4822
277,7796
278,654
278,1166
278,2238
278,4382
278,4464
278,4627
278,5424
278,5507
278,5664
278,5685
278,7202
278,8428
278,8811
279,743
279,3048
279,3059
279,3544
279,4366
279,4687
279,6815
279,7255
279,9062
279,9120
279,9324
279,9399
280,137
280,661
280,1707
280,1827
280,3479
280,5397
280,7717
280,7820
280,9859
281,99
281,1752
281,4243
281,4558
281,4692
281,5120
281,5309
281,5996
281,7443
281,7550
281,9373
281,9717
281,9738
282,259
282,4026
282,5470
282,6937
282,9714
283,521
283,1696
283,2354
283,3124
283,3767
283,5399
283,5961
283,7856
283,8354
283,8596
283,8740
283,8952
283,9841
284,303
284,533
284,1320
284,3466
284,5682
284,5874
284,6294
284,7045
284,7600
284,8164
285,1053
285,2090
285,7851
285,7956
286,1391
286,1446
286,2144
286,4600
286,5070
286,5712
286,5788
286,6180
286,6268
286,7395
286,7425
286,7794
286,9849
